chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP,Agnostic
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,"RGB, CIR and CHM",0.153414721,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,RGB and CIR,0.145813983,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,94,exp4_d06e3f844b134e108b4966a6dfa3dffb,CHM only,0.034627129,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,"RGB, CIR and CHM",0.254604154,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,RGB and CIR,0.05998199,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,71,exp0_bf07f79194c9407faf1bc075a05e555c,CHM only,0.030022213,TRUE
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,"RGB, CIR and CHM",0.221726167,TRUE
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,RGB and CIR,0.025271531,TRUE
"[[-inf, inf]]",exp2,61,exp2_67ad692b665048b293bbede70509dfe2,CHM only,0.035752892,TRUE
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,"RGB, CIR and CHM",0.240439574,TRUE
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,RGB and CIR,0.011180566,TRUE
"[[-inf, inf]]",exp3,71,exp3_68042fa07a7c41a59bd89228306fb5da,CHM only,0.02396151,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,"RGB, CIR and CHM",0.246527405,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,RGB and CIR,0.130435756,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp4,64,exp4_2cdeed433fe9471f823efcc378ce38f7,CHM only,0.102645882,TRUE
"[[-inf, inf]]",exp4,54,exp4_2383886d3f0c41389871503c87194f6e,"RGB, CIR and CHM",0.178958908,TRUE
"[[-inf, inf]]",exp4,54,exp4_2383886d3f0c41389871503c87194f6e,RGB and CIR,0.006830779,TRUE
"[[-inf, inf]]",exp4,54,exp4_2383886d3f0c41389871503c87194f6e,CHM only,0.021039666,TRUE
"[[-inf, inf]]",exp0,66,exp0_17b0ad3efdd1448485cd62f6ce8d5bcf,"RGB, CIR and CHM",0.222427076,TRUE
"[[-inf, inf]]",exp0,66,exp0_17b0ad3efdd1448485cd62f6ce8d5bcf,RGB and CIR,0.020810462,TRUE
"[[-inf, inf]]",exp0,66,exp0_17b0ad3efdd1448485cd62f6ce8d5bcf,CHM only,0.027049803,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,91,exp0_e15e17d4286149f4a29744be2ec5d5ad,"RGB, CIR and CHM",0.170083012,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,91,exp0_e15e17d4286149f4a29744be2ec5d5ad,RGB and CIR,0.185383773,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,91,exp0_e15e17d4286149f4a29744be2ec5d5ad,CHM only,0.118109225,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,92,exp0_b493f75adb4c495996df290db2b095d0,"RGB, CIR and CHM",0.248289686,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,92,exp0_b493f75adb4c495996df290db2b095d0,RGB and CIR,0.065022305,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,92,exp0_b493f75adb4c495996df290db2b095d0,CHM only,0.142261567,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,47,exp3_5fcf6aa5b61c4fecb9d52965ac177452,"RGB, CIR and CHM",0.256741025,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,47,exp3_5fcf6aa5b61c4fecb9d52965ac177452,RGB and CIR,0.171110834,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,47,exp3_5fcf6aa5b61c4fecb9d52965ac177452,CHM only,0.184866582,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp4,86,exp4_ede0639a1b7843ceb70494bfef226854,"RGB, CIR and CHM",0.20287836,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp4,86,exp4_ede0639a1b7843ceb70494bfef226854,RGB and CIR,0.206543679,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp4,86,exp4_ede0639a1b7843ceb70494bfef226854,CHM only,0.028685805,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_bb6ae685a00e461a9433dbe88b109d0f,"RGB, CIR and CHM",0.29270302,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_bb6ae685a00e461a9433dbe88b109d0f,RGB and CIR,0.035640831,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,69,exp4_bb6ae685a00e461a9433dbe88b109d0f,CHM only,0.192543528,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,61,exp4_bdc22f74dc3846e78b5fe9bb90f58ef8,"RGB, CIR and CHM",0.239738892,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,61,exp4_bdc22f74dc3846e78b5fe9bb90f58ef8,RGB and CIR,0.137878525,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,61,exp4_bdc22f74dc3846e78b5fe9bb90f58ef8,CHM only,0.222932998,TRUE
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,"RGB, CIR and CHM",0.251165857,TRUE
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,RGB and CIR,0.014712118,TRUE
"[[-inf, inf]]",exp4,58,exp4_77401ab1f61e48ca90a88c4fc14a7419,CHM only,0.031519045,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,"RGB, CIR and CHM",0.28254733,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,RGB and CIR,0.081008155,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,84,exp3_6d3d1fff629a4db39215bcf88467f4d6,CHM only,0.059617224,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,"RGB, CIR and CHM",0.225062613,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,RGB and CIR,0.240449229,TRUE
